transcript_Id,Interviewer,Child,Sentiment (window size 7 / 0.6 threshold)
NA0085-PC,HM-HM I WANT TO FIND OUT A BIT MORE ABOUT WHERE THIS HAPPENED WHERE DO YOU HAVE YOUR BATH,In the bathroom in the big one,"{'sequence': ""A long time. A bit yucky. She's at work. In the bathroom in the big one"", 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.479449987411499, 0.26371490955352783, 0.1751350313425064, 0.08170005679130554]}"
NA0085-PC,IN THE BIG BATHROOM OKAY SO I KNOW A LITTLE BIT ABOUT YOUR FAMILY BUT CAN YOU TELL ME A BIT MORE ABOUT YOUR FAMILY I KNOW YOU’VE GOT A MUM AND STEPHEN CAN YOU TELL ME MORE ABOUT YOUR FAMILY,Yes,"{'sequence': ""A long time. A bit yucky. She's at work. In the bathroom in the big one. Yes"", 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.5066652297973633, 0.24744580686092377, 0.17540781199932098, 0.07048118859529495]}"
NA0085-PC,TELL ME WHO’S IN YOUR FAMILY,My real dad but he doesn't live with us and then we have one dog,"{'sequence': ""A long time. A bit yucky. She's at work. In the bathroom in the big one. Yes. My real dad but he doesn't live with us and then we have one dog"", 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.5296093821525574, 0.2230043113231659, 0.1326395720243454, 0.11474671959877014]}"
NA0085-PC,OH OKAY SO THERE’S MUM AND STEPHEN AND YOU HAVE ONE DOG,Hm-hm,"{'sequence': ""A long time. A bit yucky. She's at work. In the bathroom in the big one. Yes. My real dad but he doesn't live with us and then we have one dog. Hm-hm"", 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.5202744007110596, 0.2191052883863449, 0.13507254421710968, 0.12554781138896942]}"
NA0023-PC,OKAY SO WHEN YOU SAY HE WIPED CAN YOU DESCRIBE TO ME HOW HE DID THAT,He just wiped the wee,"{'sequence': 'He just wiped the wee', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.3381199836730957, 0.2541225254535675, 0.24281887710094452, 0.1649385541677475]}"
NA0023-PC,HM-HM DID HE USE ANYTHING,Yeah,"{'sequence': 'He just wiped the wee. Yeah', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.46861425042152405, 0.25319501757621765, 0.15482434630393982, 0.1233663260936737]}"
NA0023-PC,WHAT WAS THAT,Just his fingers,"{'sequence': 'He just wiped the wee. Yeah. Just his fingers', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5734695792198181, 0.19463707506656647, 0.13304680585861206, 0.09884652495384216]}"
NA0023-PC,OKAY AND THEN WHAT HAPPENED,And then I started crying,"{'sequence': 'And then I started crying', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.6957384943962097, 0.18588286638259888, 0.08444834500551224, 0.03393027186393738]}"
NA0023-PC,HM-HM,And then he ran away,"{'sequence': 'And then I started crying. And then he ran away', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.7438817620277405, 0.1832791566848755, 0.041764914989471436, 0.031074246391654015]}"
NA0023-PC,HE RAN AWAY,Yeah,"{'sequence': 'And then I started crying. And then he ran away. Yeah', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.7489166259765625, 0.16680529713630676, 0.05329560488462448, 0.030982457101345062]}"
NA0023-PC,OKAY SO YOU MENTIONED BEFORE THAT HE SAID HE HAD TO HELP YOU CAN YOU TELL ME MORE ABOUT THAT,Yeah,"{'sequence': 'And then I started crying. And then he ran away. Yeah. Yeah', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.7600982785224915, 0.1573415845632553, 0.055102284997701645, 0.027457846328616142]}"
NA0064-PC,OKAY IS THERE ANYTHING ELSE YOU WANT TO TELL ME,No,"{'sequence': 'No', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.33572548627853394, 0.270730584859848, 0.2609308362007141, 0.13261301815509796]}"
NA0064-PC,NO ARE YOU FEELING SAFE AT SCHOOL,Yes,"{'sequence': 'No. Yes', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.33179378509521484, 0.30739912390708923, 0.20140039920806885, 0.15940669178962708]}"
NA0064-PC,YES WHAT MAKES YOU FEEL SAFE,My friends are really nice,"{'sequence': 'My friends are really nice', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.8553997874259949, 0.06837204843759537, 0.0442747138440609, 0.031953513622283936]}"
NA0064-PC,FRIENDS ARE NICE,The teachers were nice,"{'sequence': 'The teachers were nice', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.8761142492294312, 0.054855335503816605, 0.03801925107836723, 0.03101116605103016]}"
NA0064-PC,TEACHERS ARE NICE OKAY IS THERE ANYTHING THAT MAKES YOU FEEL UNSAFE,Yes,"{'sequence': 'The teachers were nice. Yes', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.89705890417099, 0.04564734175801277, 0.031983304768800735, 0.02531047724187374]}"
NA0064-PC,YEAH WHAT MAKES YOU FEEL UNSAFE,When Sam makes us go into the toilet,"{'sequence': 'The teachers were nice. Yes. When Sam makes us go into the toilet', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5017735958099365, 0.24515607953071594, 0.1523771584033966, 0.10069311410188675]}"
NA0064-PC,OKAY HOW DOES HE MAKE YOU,I don't know,"{'sequence': ""The teachers were nice. Yes. When Sam makes us go into the toilet. I don't know"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.38484808802604675, 0.2781839370727539, 0.196824848651886, 0.14014311134815216]}"
NA0080-PC,HM-HM,And when I got there we were playing under the sprinkler,"{'sequence': 'And when I got there we were playing under the sprinkler', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.9207311868667603, 0.03472791239619255, 0.025978220626711845, 0.01856260746717453]}"
NA0080-PC,OKAY SO YOU WERE PLAYING UNDER THE SPRINKLER AND WAS THAT WITH JANET,Yeah,"{'sequence': 'And when I got there we were playing under the sprinkler. Yeah', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.9044104814529419, 0.038396403193473816, 0.03603234514594078, 0.02116074226796627]}"
NA0080-PC,AND WHAT HAPPENED NEXT,Then her grandfather came out and started spraying us with the hose,"{'sequence': 'And when I got there we were playing under the sprinkler. Yeah. Then her grandfather came out and started spraying us with the hose', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.7903671860694885, 0.09065894037485123, 0.07741401344537735, 0.041559793055057526]}"
NA0080-PC,OKAY AND WHAT HAPPENED AFTER THAT,And then he asked us if we wanted to go in the spa,"{'sequence': 'And then he asked us if we wanted to go in the spa', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.7655333280563354, 0.09828075021505356, 0.0772220641374588, 0.05896387994289398]}"
NA0080-PC,OKAY SO HE ASKED YOU IF YOU WANTED TO GO INTO THE SPA AND THEN WHAT HAPPENED AFTER THAT,We're only allowed to go in the spa with an adult,"{'sequence': ""And then he asked us if we wanted to go in the spa. We're only allowed to go in the spa with an adult"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5859248638153076, 0.18411996960639954, 0.12630297243595123, 0.10365217179059982]}"
NA0080-PC,HM-HM,So the three of us went in together,"{'sequence': ""And then he asked us if we wanted to go in the spa. We're only allowed to go in the spa with an adult. So the three of us went in together"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5444881916046143, 0.2007293701171875, 0.15471935272216797, 0.1000630185008049]}"
NA0080-PC,OKAY SO WHAT HAPPENED AFTER YOU WENT INTO THE SPA WITH JANET AND HER GRANDFATHER,Janet and I were splashing each other,"{'sequence': 'Janet and I were splashing each other', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.7766647934913635, 0.1631976068019867, 0.04532342404127121, 0.014814136549830437]}"
NA0100-PC,ONE TIME OKAY CAN YOU TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE START FROM THE BEGINNING,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5612317323684692, 0.17821335792541504, 0.15688201785087585, 0.10367293655872345]}"
NA0100-PC,OKAY SO TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE,I play hide and seek with him,"{'sequence': 'I play hide and seek with him', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.8524042963981628, 0.09730076789855957, 0.02555238828063011, 0.02474259026348591]}"
NA0100-PC,HM-HM,And we play after school,"{'sequence': 'And we play after school', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.9115231037139893, 0.034831296652555466, 0.03481941297650337, 0.018826207146048546]}"
NA0100-PC,OKAY,And he comes over to my house,"{'sequence': 'And we play after school. And he comes over to my house', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.8774764537811279, 0.049251262098550797, 0.03846215829253197, 0.03481009230017662]}"
NA0100-PC,OKAY YOUR HOUSE,And he came over when his mum was at work,"{'sequence': 'And we play after school. And he comes over to my house. And he came over when his mum was at work', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.8743960857391357, 0.049952324479818344, 0.04195109382271767, 0.033700477331876755]}"
NA0100-PC,OKAY SO TELL ME MORE SORRY I’LL START AGAIN SO WHAT ELSE HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE,I like hiding first because I'm really good at  hiding,"{'sequence': ""I like hiding first because I'm really good at  hiding"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.8147417902946472, 0.11840782314538956, 0.03523441031575203, 0.03161592409014702]}"
NA0100-PC,SO CAN YOU TELL ME THAT AGAIN YOU HIDE,First because I'm really good at hiding,"{'sequence': ""First because I'm really good at hiding"", 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.7304906845092773, 0.10740654915571213, 0.082302026450634, 0.07980071008205414]}"
NA0092-PC,YOU DON’T LIVE WITH HIM SO DID SOMETHING HAPPEN TO YOU ON THE WEEKEND,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.576476514339447, 0.16904708743095398, 0.16076235473155975, 0.09371398389339447]}"
NA0092-PC,CAN YOU TELL ME MORE ABOUT THAT,Yes,"{'sequence': 'Yes. Yes', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5995288491249084, 0.16179031133651733, 0.15544742345809937, 0.08323338627815247]}"
NA0092-PC,SO WHAT SORT OF THING HAPPENED,He hurt me,"{'sequence': 'Yes. Yes. He hurt me', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.41874074935913086, 0.2940063178539276, 0.2632685899734497, 0.023984378203749657]}"
NA0092-PC,HE HURT YOU AND CAN YOU TEL ME HOW HE HURT YOU,Yes,"{'sequence': 'Yes. Yes. He hurt me. Yes', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.4190917909145355, 0.3093101680278778, 0.2516120970249176, 0.019985932856798172]}"
NA0092-PC,AND CAN YOU EXPLAIN,Yes,"{'sequence': 'Yes. Yes. He hurt me. Yes. Yes', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.41722211241722107, 0.3061867952346802, 0.25610679388046265, 0.020484302192926407]}"
NA0092-PC,HM,He just hurt me,"{'sequence': 'Yes. Yes. He hurt me. Yes. Yes. He just hurt me', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.3061314821243286, 0.27928030490875244, 0.2755923271179199, 0.13899587094783783]}"
NA0092-PC,PARDON,He just hurt me,"{'sequence': 'Yes. Yes. He hurt me. Yes. Yes. He just hurt me. He just hurt me', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.2722223997116089, 0.2677944600582123, 0.25533628463745117, 0.20464688539505005]}"
NA0007-PC ,SO IT WAS JUST YOU AND CALLUM,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5612317323684692, 0.17821335792541504, 0.15688201785087585, 0.10367293655872345]}"
NA0007-PC ,AND YOU TOLD ME THAT IT HURT YEAH,Hm-hm,"{'sequence': 'Yeah. Hm-hm', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5008094906806946, 0.19017717242240906, 0.18688826262950897, 0.1221250519156456]}"
NA0007-PC ,AND I’M REALLY SORRY THAT THAT’S HAPPENED YEAH AND DID YOU SPEAK TO ANYBODY ABOUT WHAT HAS HAPPENED,Yeah,"{'sequence': 'Yeah. Hm-hm. Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5245057940483093, 0.18790516257286072, 0.17572884261608124, 0.11186022311449051]}"
NA0007-PC ,YEAH WHO DID YOU SPEAK TO,My mum,"{'sequence': 'Yeah. Hm-hm. Yeah. My mum', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.47483423352241516, 0.18481692671775818, 0.1755187213420868, 0.16483014822006226]}"
NA0007-PC ,YOU SPOKE TO YOUR MUM CAN YOU REMEMBER WHEN YOU SPOKE TO MUM,Yeah,"{'sequence': 'Yeah. Hm-hm. Yeah. My mum. Yeah', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.49599555134773254, 0.1931929737329483, 0.15874338150024414, 0.15206803381443024]}"
NA0007-PC ,YEAH WHEN WAS THAT,Just when she picked me up in the morning,"{'sequence': 'Yeah. Hm-hm. Yeah. My mum. Yeah. Just when she picked me up in the morning', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.47374239563941956, 0.2328433394432068, 0.14900417625904083, 0.1444101780653]}"
NA0007-PC ,OKAY SO IT WAS THE NEXT DAY,Hm-hm,"{'sequence': 'Yeah. Hm-hm. Yeah. My mum. Yeah. Just when she picked me up in the morning. Hm-hm', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5275503396987915, 0.17964021861553192, 0.14805468916893005, 0.14475472271442413]}"
NA0040-PC,OKAY DID YOU SAY ANYTHING TO THE LADY,No,"{'sequence': 'No', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.33572548627853394, 0.270730584859848, 0.2609308362007141, 0.13261301815509796]}"
NA0040-PC,NO SO WHEN SHE ASKED IF YOU’RE OKAY YOU DIDN’T SAY ANYTHING TO HER,No,"{'sequence': 'No. No', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.28846701979637146, 0.2815108895301819, 0.2533639967441559, 0.17665812373161316]}"
NA0040-PC,NO OKAY SO WHAT DID YOU DO AFTER THAT,I went back to Mum,"{'sequence': 'No. No. I went back to Mum', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.3698117434978485, 0.2665330469608307, 0.21484801173210144, 0.1488071084022522]}"
NA0040-PC,YOU WENT BACK TO YOUR MUM OKAY AND DID YOU TELL YOUR MUM WHAT HAPPENED,Yeah,"{'sequence': 'No. No. I went back to Mum. Yeah', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.3435942232608795, 0.2910921573638916, 0.21902482211589813, 0.14628879725933075]}"
NA0040-PC,YEAH CAN YOU REMEMBER WHAT YOU SAID TO YOUR MUM,Yeah,"{'sequence': 'No. No. I went back to Mum. Yeah. Yeah', 'labels': ['fear', 'sadness', 'enjoyment', 'anger'], 'scores': [0.2835487127304077, 0.28339847922325134, 0.24656075239181519, 0.18649213016033173]}"
NA0040-PC,YEAH WHAT DID YOU SAY,I told her I was scared going to the toilet,"{'sequence': 'I told her I was scared going to the toilet', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.9793558120727539, 0.012949756346642971, 0.004330713767558336, 0.0033636814914643764]}"
NA0040-PC,OKAY AND WHAT JESSICA DO YOU REMEMBER WHAT YOU WERE WEARING WHEN YOU WENT TO THE TOILET,Hm-hm,"{'sequence': 'I told her I was scared going to the toilet. Hm-hm', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.9751865267753601, 0.015793219208717346, 0.00524655869230628, 0.003773700213059783]}"
