transcript_Id,Interviewer,Child,Sentiment (window size 7 / 0.4 threshold)
NA0064-PC,OKAY IS THERE ANYTHING ELSE YOU WANT TO TELL ME,No,"{'sequence': 'No', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.35778501629829407, 0.31610238552093506, 0.1769070029258728, 0.14920559525489807]}"
NA0064-PC,NO ARE YOU FEELING SAFE AT SCHOOL,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4178420305252075, 0.24204954504966736, 0.1992567777633667, 0.14085158705711365]}"
NA0064-PC,YES WHAT MAKES YOU FEEL SAFE,My friends are really nice,"{'sequence': 'My friends are really nice', 'labels': ['enjoyment', 'anger', 'sadness', 'fear'], 'scores': [0.7179495692253113, 0.11025337874889374, 0.10349970310926437, 0.0682973712682724]}"
NA0064-PC,FRIENDS ARE NICE,The teachers were nice,"{'sequence': 'The teachers were nice', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.480771541595459, 0.2300712913274765, 0.17122091352939606, 0.11793620884418488]}"
NA0064-PC,TEACHERS ARE NICE OKAY IS THERE ANYTHING THAT MAKES YOU FEEL UNSAFE,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4178420305252075, 0.24204954504966736, 0.1992567777633667, 0.14085158705711365]}"
NA0064-PC,YEAH WHAT MAKES YOU FEEL UNSAFE,When Sam makes us go into the toilet,"{'sequence': 'Yes. When Sam makes us go into the toilet', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.33882802724838257, 0.24925342202186584, 0.20886142551898956, 0.20305711030960083]}"
NA0064-PC,OKAY HOW DOES HE MAKE YOU,I don't know,"{'sequence': ""Yes. When Sam makes us go into the toilet. I don't know"", 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.32030385732650757, 0.26720064878463745, 0.2139568030834198, 0.19853875041007996]}"
NA0080-PC,HM-HM,And when I got there we were playing under the sprinkler,"{'sequence': 'And when I got there we were playing under the sprinkler', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3377930819988251, 0.265507310628891, 0.2185520976781845, 0.1781475692987442]}"
NA0080-PC,OKAY SO YOU WERE PLAYING UNDER THE SPRINKLER AND WAS THAT WITH JANET,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0080-PC,AND WHAT HAPPENED NEXT,Then her grandfather came out and started spraying us with the hose,"{'sequence': 'Yeah. Then her grandfather came out and started spraying us with the hose', 'labels': ['enjoyment', 'anger', 'sadness', 'fear'], 'scores': [0.2669362723827362, 0.2572370171546936, 0.24923859536647797, 0.2265881896018982]}"
NA0080-PC,OKAY AND WHAT HAPPENED AFTER THAT,And then he asked us if we wanted to go in the spa,"{'sequence': 'Yeah. Then her grandfather came out and started spraying us with the hose. And then he asked us if we wanted to go in the spa', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.2606712281703949, 0.25446417927742004, 0.24574774503707886, 0.2391168624162674]}"
NA0080-PC,OKAY SO HE ASKED YOU IF YOU WANTED TO GO INTO THE SPA AND THEN WHAT HAPPENED AFTER THAT,We're only allowed to go in the spa with an adult,"{'sequence': ""Yeah. Then her grandfather came out and started spraying us with the hose. And then he asked us if we wanted to go in the spa. We're only allowed to go in the spa with an adult"", 'labels': ['enjoyment', 'anger', 'sadness', 'fear'], 'scores': [0.2663908302783966, 0.2508438229560852, 0.24943916499614716, 0.2333262413740158]}"
NA0080-PC,HM-HM,So the three of us went in together,"{'sequence': ""Yeah. Then her grandfather came out and started spraying us with the hose. And then he asked us if we wanted to go in the spa. We're only allowed to go in the spa with an adult. So the three of us went in together"", 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.27364715933799744, 0.2713044285774231, 0.23296788334846497, 0.2220805138349533]}"
NA0080-PC,OKAY SO WHAT HAPPENED AFTER YOU WENT INTO THE SPA WITH JANET AND HER GRANDFATHER,Janet and I were splashing each other,"{'sequence': 'Janet and I were splashing each other', 'labels': ['enjoyment', 'anger', 'sadness', 'fear'], 'scores': [0.43631333112716675, 0.23722600936889648, 0.17950089275836945, 0.14695973694324493]}"
NA0100-PC,ONE TIME OKAY CAN YOU TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE START FROM THE BEGINNING,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0100-PC,OKAY SO TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE,I play hide and seek with him,"{'sequence': 'Yeah. I play hide and seek with him', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.2925502359867096, 0.26092004776000977, 0.2552274465560913, 0.19130223989486694]}"
NA0100-PC,HM-HM,And we play after school,"{'sequence': 'Yeah. I play hide and seek with him. And we play after school', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.354487806558609, 0.24841533601284027, 0.22768670320510864, 0.1694101244211197]}"
NA0100-PC,OKAY,And he comes over to my house,"{'sequence': 'Yeah. I play hide and seek with him. And we play after school. And he comes over to my house', 'labels': ['fear', 'anger', 'enjoyment', 'sadness'], 'scores': [0.3081154525279999, 0.24633988738059998, 0.22689269483089447, 0.21865199506282806]}"
NA0100-PC,OKAY YOUR HOUSE,And he came over when his mum was at work,"{'sequence': 'Yeah. I play hide and seek with him. And we play after school. And he comes over to my house. And he came over when his mum was at work', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.31491759419441223, 0.23058389127254486, 0.22725096344947815, 0.22724749147891998]}"
NA0100-PC,OKAY SO TELL ME MORE SORRY I’LL START AGAIN SO WHAT ELSE HAPPENED WHEN YOUR NEIGHBOUR HURT YOUR PEE-PEE,I like hiding first because I'm really good at  hiding,"{'sequence': ""I like hiding first because I'm really good at  hiding"", 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.45831170678138733, 0.19361434876918793, 0.1907169222831726, 0.15735700726509094]}"
NA0100-PC,SO CAN YOU TELL ME THAT AGAIN YOU HIDE,First because I'm really good at hiding,"{'sequence': ""I like hiding first because I'm really good at  hiding. First because I'm really good at hiding"", 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.35263216495513916, 0.23866769671440125, 0.21620909869670868, 0.19249103963375092]}"
NA0092-PC,YOU DON’T LIVE WITH HIM SO DID SOMETHING HAPPEN TO YOU ON THE WEEKEND,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4178420305252075, 0.24204954504966736, 0.1992567777633667, 0.14085158705711365]}"
NA0092-PC,CAN YOU TELL ME MORE ABOUT THAT,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4178420305252075, 0.24204954504966736, 0.1992567777633667, 0.14085158705711365]}"
NA0092-PC,SO WHAT SORT OF THING HAPPENED,He hurt me,"{'sequence': 'He hurt me', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.40546831488609314, 0.34010007977485657, 0.18206216394901276, 0.07236948609352112]}"
NA0092-PC,HE HURT YOU AND CAN YOU TEL ME HOW HE HURT YOU,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4178420305252075, 0.24204954504966736, 0.1992567777633667, 0.14085158705711365]}"
NA0092-PC,AND CAN YOU EXPLAIN,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4178420305252075, 0.24204954504966736, 0.1992567777633667, 0.14085158705711365]}"
NA0092-PC,HM,He just hurt me,"{'sequence': 'He just hurt me', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.483246773481369, 0.31279271841049194, 0.15314120054244995, 0.050819288939237595]}"
NA0092-PC,PARDON,He just hurt me,"{'sequence': 'He just hurt me', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.483246773481369, 0.31279271841049194, 0.15314120054244995, 0.050819288939237595]}"
NA0007-PC ,SO IT WAS JUST YOU AND CALLUM,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0007-PC ,AND YOU TOLD ME THAT IT HURT YEAH,Hm-hm,"{'sequence': 'Yeah. Hm-hm', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3795037567615509, 0.30868107080459595, 0.2040002942085266, 0.10781490802764893]}"
NA0007-PC ,AND I’M REALLY SORRY THAT THAT’S HAPPENED YEAH AND DID YOU SPEAK TO ANYBODY ABOUT WHAT HAS HAPPENED,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0007-PC ,YEAH WHO DID YOU SPEAK TO,My mum,"{'sequence': 'Yeah. My mum', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4222758412361145, 0.2923269271850586, 0.1587410420179367, 0.12665611505508423]}"
NA0007-PC ,YOU SPOKE TO YOUR MUM CAN YOU REMEMBER WHEN YOU SPOKE TO MUM,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0007-PC ,YEAH WHEN WAS THAT,Just when she picked me up in the morning,"{'sequence': 'Yeah. Just when she picked me up in the morning', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3817707300186157, 0.2584730386734009, 0.19244694709777832, 0.16730931401252747]}"
NA0007-PC ,OKAY SO IT WAS THE NEXT DAY,Hm-hm,"{'sequence': 'Yeah. Just when she picked me up in the morning. Hm-hm', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3754464089870453, 0.29426175355911255, 0.19075317680835724, 0.1395386904478073]}"
NA0040-PC,OKAY DID YOU SAY ANYTHING TO THE LADY,No,"{'sequence': 'No', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.35778501629829407, 0.31610238552093506, 0.1769070029258728, 0.14920559525489807]}"
NA0040-PC,NO SO WHEN SHE ASKED IF YOU’RE OKAY YOU DIDN’T SAY ANYTHING TO HER,No,"{'sequence': 'No. No', 'labels': ['sadness', 'enjoyment', 'anger', 'fear'], 'scores': [0.3735899329185486, 0.270456463098526, 0.18565744161605835, 0.17029614746570587]}"
NA0040-PC,NO OKAY SO WHAT DID YOU DO AFTER THAT,I went back to Mum,"{'sequence': 'No. No. I went back to Mum', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.32061004638671875, 0.28549110889434814, 0.21720854938030243, 0.1766902506351471]}"
NA0040-PC,YOU WENT BACK TO YOUR MUM OKAY AND DID YOU TELL YOUR MUM WHAT HAPPENED,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0040-PC,YEAH CAN YOU REMEMBER WHAT YOU SAID TO YOUR MUM,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.45868250727653503, 0.23904509842395782, 0.1844799965620041, 0.11779239028692245]}"
NA0040-PC,YEAH WHAT DID YOU SAY,I told her I was scared going to the toilet,"{'sequence': 'I told her I was scared going to the toilet', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.5677942633628845, 0.20976951718330383, 0.18031489849090576, 0.04212131351232529]}"
NA0040-PC,OKAY AND WHAT JESSICA DO YOU REMEMBER WHAT YOU WERE WEARING WHEN YOU WENT TO THE TOILET,Hm-hm,"{'sequence': 'I told her I was scared going to the toilet. Hm-hm', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.9747033715248108, 0.01317205186933279, 0.01061275415122509, 0.0015118425944820046]}"
